Company,Job Role,Skills Needed
Qualcomm,DevOps Engineer,"Network Security, Deep Learning, Financial Modeling, UX Research, Java, Blockchain, HTML, Web3, AWS, Power BI"
Samsung Electronics,Customer Success Manager,"UX Research, CI/CD, HTML, Selenium, Automation, Figma, Power BI, AWS"
Razorpay,Database Administrator,"Scrum, Financial Modeling, Automation, C++, CSS, CI/CD, Agile, UX Research, Selenium"
Oracle,Risk Analyst,"UX Research, AWS, SEM, Power BI, NLP, Automation, Risk Analysis, Angular, Scrum"
Goldman Sachs,Supply Chain Analyst,"SEO, Scrum, Testing, System Design, Digital Marketing, SEM"
Stripe,Quantitative Analyst,"Microservices, Scrum, SQL, Web3, SEM"
Palantir,UI/UX Designer,"Data Visualization, Project Management, SQL, UX Research, SEO, Deep Learning, UI Design, Machine Learning, Risk Analysis"
Palantir,Digital Marketing Manager,"Azure, Cybersecurity, SEM, Java, Deep Learning"
VMware,Data Scientist,"Power BI, Project Management, Web3, SEO, Solidity, CSS, SEM, Tableau, UI Design, Agile"
JP Morgan Chase,Cloud Solutions Architect,"Machine Learning, SQL, HTML, Linux, Data Visualization, Web3, Financial Modeling"
Stripe,DevOps Engineer,"Ethical Hacking, Angular, Deep Learning, AWS, Project Management, SQL"
SAP,QA Automation Engineer,"Azure, Data Visualization, Machine Learning, Microservices, Financial Modeling, Solidity"
Twilio,AI Research Scientist,"CI/CD, Ethical Hacking, Microservices, Project Management, Python, Angular, UI Design, Docker"
Shopify,Business Intelligence Analyst,"UX Research, Microservices, Figma, React, Selenium, Azure"
Adobe,Financial Analyst,"UX Research, Cybersecurity, Excel, React, Figma, Web3, Node.js, Kubernetes, System Design, Solidity"
ByteDance,DevOps Engineer,"Blockchain, Excel, Selenium, UI Design, AWS, Financial Modeling, Angular"
ASML,Growth Hacker,"Data Visualization, NLP, Machine Learning, Power BI, Risk Analysis, GCP, Blockchain, Automation"
Uber,Cybersecurity Analyst,"Python, Microservices, Selenium, SEM, Ethical Hacking, Kubernetes"
ByteDance,Site Reliability Engineer,"Agile, Python, Solidity, SEO, Scrum, C++, AWS, Deep Learning"
ServiceNow,Operations Manager,"UI Design, Ethical Hacking, Financial Modeling, Deep Learning, Python, NLP"
Bosch,UI/UX Designer,"Cybersecurity, Agile, Machine Learning, Deep Learning, AWS, Power BI, C++, Digital Marketing, CI/CD"
Atlassian,Growth Hacker,"HTML, R, SQL, Automation, Testing"
PwC,Growth Hacker,"Digital Marketing, GCP, UX Research, Project Management, System Design, Python, Web3, Network Security"
Goldman Sachs,AI Research Scientist,"Machine Learning, Risk Analysis, SQL, Blockchain, Agile, Python, UX Research"
Barclays,Systems Analyst,"Project Management, Selenium, SQL, Cybersecurity, Excel, Testing"
Shopify,Game Developer,"System Design, Digital Marketing, R, Azure, Data Visualization, SEM, Tableau"
Honeywell,Systems Analyst,"Tableau, Docker, Project Management, Selenium, Linux, Data Visualization"
Shopify,HR Analytics Specialist,"CI/CD, Angular, React, Network Security, System Design, CSS, NLP, Java, UX Research"
Atlassian,QA Automation Engineer,"Scrum, Tableau, C++, Project Management, Solidity, Python, R"
Tesla,Product Manager,"C++, Project Management, Network Security, GCP, Solidity"
Goldman Sachs,Site Reliability Engineer,"Figma, Angular, Digital Marketing, Financial Modeling, Selenium, Solidity, Risk Analysis, Tableau, SEO, System Design"
EY,Supply Chain Analyst,"UI Design, CSS, Kubernetes, Financial Modeling, Deep Learning"
Qualcomm,Database Administrator,"CSS, Angular, System Design, Figma, Network Security, Microservices"
Adobe,Database Administrator,"Solidity, Risk Analysis, CI/CD, Financial Modeling, Java, Angular"
ByteDance,Database Administrator,"Kubernetes, Data Visualization, CSS, Docker, HTML, Python, Excel"
Atlassian,Operations Manager,"CI/CD, GCP, Risk Analysis, Kubernetes, Deep Learning, Digital Marketing, Agile"
Palantir,Cloud Solutions Architect,"CI/CD, Azure, Deep Learning, Linux, Figma"
BCG,Site Reliability Engineer,"Azure, HTML, Angular, NLP, Cybersecurity, Figma, React, Blockchain, GCP, Excel"
ServiceNow,Data Scientist,"Tableau, Power BI, Testing, CI/CD, Figma, C++"
NVIDIA,Growth Hacker,"Ethical Hacking, C++, Python, Solidity, Data Visualization, NLP"
Razorpay,Growth Hacker,"AWS, Tableau, Azure, Web3, Docker"
SpaceX,HR Analytics Specialist,"Linux, Agile, Project Management, SQL, CI/CD, Blockchain, Deep Learning"
Uber,Operations Manager,"Financial Modeling, Cybersecurity, Web3, HTML, Scrum, Docker"
Zomato,Operations Manager,"Financial Modeling, Angular, Figma, R, SQL"
KPMG,Database Administrator,"Project Management, SQL, CSS, AWS, Power BI, Docker"
Shopify,Database Administrator,"Solidity, NLP, Java, Python, Risk Analysis, Tableau"
Goldman Sachs,Data Scientist,"System Design, Microservices, Scrum, HTML, Tableau, Azure, Excel, C++, Python"
McKinsey,Supply Chain Analyst,"Node.js, Data Visualization, SEO, Agile, Ethical Hacking, Risk Analysis"
ASML,Quantitative Analyst,"Tableau, C++, Kubernetes, Angular, CI/CD, UX Research, Cybersecurity"
Razorpay,Systems Analyst,"Ethical Hacking, Agile, Project Management, Tableau, Cybersecurity, Selenium, GCP, Risk Analysis"
Intel,Cybersecurity Analyst,"Solidity, SQL, Java, Risk Analysis, Selenium, SEO, Blockchain, Data Visualization, Deep Learning, Node.js"
Razorpay,Quantitative Analyst,"Risk Analysis, Scrum, Financial Modeling, Automation, HTML"
Morgan Stanley,Robotics Engineer,"Python, Scrum, SEM, HTML, Blockchain, Microservices, C++"
Bosch,Product Manager,"Java, Risk Analysis, UI Design, Automation, Web3, AWS"
ASML,Growth Hacker,"Blockchain, Project Management, React, GCP, Microservices, Network Security, Deep Learning, Cybersecurity, Python, Testing"
HSBC,Full Stack Developer,"Python, Excel, CI/CD, Digital Marketing, Risk Analysis, SEO"
NVIDIA,QA Automation Engineer,"SEM, Automation, UX Research, SEO, Project Management, Cybersecurity, SQL, Python, CSS, Risk Analysis"
Honeywell,Digital Marketing Manager,"SEO, C++, Data Visualization, Agile, Digital Marketing, UI Design, Figma, Power BI, UX Research"
Stripe,AI Research Scientist,"Linux, NLP, SEO, Kubernetes, GCP, Digital Marketing, Project Management, Financial Modeling"
Zoom,Cybersecurity Analyst,"SEM, Cybersecurity, Java, NLP, Machine Learning"
Adobe,Mobile App Developer,"Machine Learning, Data Visualization, UI Design, SEM, Digital Marketing, Cybersecurity, Scrum, SQL"
Twilio,AI Research Scientist,"R, Solidity, Microservices, CSS, UX Research, UI Design"
Oracle,Robotics Engineer,"Agile, Tableau, Azure, NLP, Automation, React, HTML, UI Design"
PwC,Operations Manager,"Financial Modeling, Cybersecurity, Kubernetes, HTML, Deep Learning, React, SEO, UI Design"
Siemens,QA Automation Engineer,"Cybersecurity, CI/CD, Microservices, Tableau, Azure"
Oracle,Risk Analyst,"System Design, Scrum, Solidity, Blockchain, SEO, Data Visualization"
Workday,HR Analytics Specialist,"CSS, Azure, Data Visualization, Deep Learning, Kubernetes, Solidity, HTML, Tableau, Power BI, Microservices"
Morgan Stanley,UI/UX Designer,"Selenium, Microservices, SEM, System Design, Kubernetes, CSS"
JP Morgan Chase,Blockchain Developer,"R, Java, CI/CD, SEM, Node.js, Blockchain, SEO, Angular"
Snowflake,UI/UX Designer,"Microservices, Python, Ethical Hacking, React, Azure, Kubernetes, SQL"
Zoom,Data Scientist,"Kubernetes, Power BI, System Design, React, Python"
Qualcomm,Game Developer,"SEO, Solidity, Azure, Linux, Figma, Kubernetes, AWS, CSS, Cybersecurity, Automation"
Twilio,Supply Chain Analyst,"HTML, Excel, Agile, Ethical Hacking, Angular, Selenium, C++, Machine Learning, Project Management"
Goldman Sachs,Site Reliability Engineer,"R, GCP, Agile, NLP, Docker, C++"
BlackRock,Risk Analyst,"CSS, Tableau, Figma, Machine Learning, HTML, Azure, Solidity, C++, Selenium, Risk Analysis"
Shopify,Risk Analyst,"Financial Modeling, React, Cybersecurity, Azure, R, Python"
McKinsey,Embedded Systems Engineer,"R, CI/CD, Java, System Design, Kubernetes, Azure, Financial Modeling, C++"
ByteDance,Customer Success Manager,"UI Design, Deep Learning, Network Security, Tableau, Financial Modeling, Agile, Docker, AWS, Project Management, CI/CD"
LG Electronics,Systems Analyst,"React, CSS, Linux, Scrum, Node.js, NLP, SQL, R, Data Visualization, SEM"
Shopify,Systems Analyst,"Selenium, Machine Learning, CI/CD, Figma, Digital Marketing, SEO, Microservices, Deep Learning, UI Design, NLP"
Uber,Data Scientist,"AWS, R, SEO, Microservices, Web3"
Honeywell,Machine Learning Engineer,"NLP, UX Research, Financial Modeling, Docker, Network Security, R, Java, Tableau, Testing, CI/CD"
Tesla,Systems Analyst,"Selenium, R, NLP, Testing, Docker, System Design, Figma, Microservices, Financial Modeling, CSS"
SpaceX,Embedded Systems Engineer,"Machine Learning, Project Management, Financial Modeling, HTML, CI/CD, Data Visualization, Node.js, Blockchain, Kubernetes"
Palantir,AI Research Scientist,"Machine Learning, UI Design, Data Visualization, UX Research, Blockchain, R, Tableau, Node.js"
Zoom,Mobile App Developer,"Python, Java, Cybersecurity, Scrum, Machine Learning, Solidity, Automation, UX Research, Ethical Hacking"
JP Morgan Chase,Full Stack Developer,"Financial Modeling, Data Visualization, CSS, Scrum, Tableau, GCP, Power BI"
LG Electronics,UI/UX Designer,"Azure, Docker, Network Security, SEO, AWS, Machine Learning, Excel, HTML, Agile"
Flipkart,HR Analytics Specialist,"Machine Learning, CSS, Linux, SQL, Selenium, Node.js, UI Design, R"
AMD,Network Engineer,"Web3, Cybersecurity, CI/CD, React, Agile, Automation, Linux, Ethical Hacking, HTML"
Tesla,Full Stack Developer,"Scrum, Web3, Deep Learning, Kubernetes, Power BI, Docker, Python, Microservices"
Salesforce,AI Research Scientist,"Scrum, UI Design, Figma, AWS, R, C++, SEO, SQL"
Palantir,Blockchain Developer,"Deep Learning, Network Security, Testing, Financial Modeling, Agile, CI/CD, Kubernetes"
Zomato,QA Automation Engineer,"CSS, SQL, Docker, Project Management, Power BI"
Zoom,Business Intelligence Analyst,"Project Management, SEM, React, Data Visualization, Agile"
Stripe,Operations Manager,"GCP, Ethical Hacking, C++, SEO, Power BI, Microservices, NLP"
Swiggy,Database Administrator,"NLP, Azure, Excel, C++, Agile, Automation, Digital Marketing, Selenium, Blockchain"
LG Electronics,Data Scientist,"Agile, C++, CSS, Power BI, Network Security, Scrum, SEM, Python, Automation"
Swiggy,Supply Chain Analyst,"Azure, AWS, Risk Analysis, Node.js, Java, GCP"
Salesforce,Machine Learning Engineer,"Cybersecurity, Data Visualization, Network Security, Machine Learning, Tableau"
BCG,Blockchain Developer,"AWS, Network Security, NLP, Microservices, Kubernetes, Java"
Zoom,AR/VR Developer,"Microservices, System Design, Solidity, Linux, Automation, Figma, Testing"
McKinsey,QA Automation Engineer,"Scrum, Angular, GCP, Selenium, C++, Ethical Hacking, Deep Learning, Docker"
Airbnb,Game Developer,"Automation, CSS, Agile, GCP, Power BI, Data Visualization, SEM, Node.js"
